$ loadtest -c 10 http://localhost:3000/stressAllGet
[Wed Aug 10 2016 02:43:30 GMT+0300 (Беларусь (зима))] INFO Requests: 0, requests per second: 0, mean latency: 0 ms
[Wed Aug 10 2016 02:43:35 GMT+0300 (Беларусь (зима))] INFO Requests: 67, requests per second: 13, mean latency: 700 ms
[Wed Aug 10 2016 02:43:40 GMT+0300 (Беларусь (зима))] INFO Requests: 135, requests per second: 14, mean latency: 720 ms
[Wed Aug 10 2016 02:43:45 GMT+0300 (Беларусь (зима))] INFO Requests: 206, requests per second: 14, mean latency: 710 ms
[Wed Aug 10 2016 02:43:50 GMT+0300 (Беларусь (зима))] INFO Requests: 276, requests per second: 14, mean latency: 710 ms
[Wed Aug 10 2016 02:43:55 GMT+0300 (Беларусь (зима))] INFO Requests: 346, requests per second: 14, mean latency: 710 ms
[Wed Aug 10 2016 02:44:00 GMT+0300 (Беларусь (зима))] INFO Requests: 417, requests per second: 14, mean latency: 720 ms
[Wed Aug 10 2016 02:44:05 GMT+0300 (Беларусь (зима))] INFO Requests: 485, requests per second: 14, mean latency: 730 ms
[Wed Aug 10 2016 02:44:10 GMT+0300 (Беларусь (зима))] INFO Requests: 551, requests per second: 13, mean latency: 760 ms
[Wed Aug 10 2016 02:44:15 GMT+0300 (Беларусь (зима))] INFO Requests: 617, requests per second: 13, mean latency: 740 ms
[Wed Aug 10 2016 02:44:20 GMT+0300 (Беларусь (зима))] INFO Requests: 681, requests per second: 13, mean latency: 780 ms
[Wed Aug 10 2016 02:44:25 GMT+0300 (Беларусь (зима))] INFO Requests: 746, requests per second: 13, mean latency: 780 ms
[Wed Aug 10 2016 02:44:30 GMT+0300 (Беларусь (зима))] INFO Requests: 812, requests per second: 13, mean latency: 760 ms
[Wed Aug 10 2016 02:44:35 GMT+0300 (Беларусь (зима))] INFO Requests: 878, requests per second: 13, mean latency: 750 ms
[Wed Aug 10 2016 02:44:40 GMT+0300 (Беларусь (зима))] INFO Requests: 946, requests per second: 14, mean latency: 740 ms
[Wed Aug 10 2016 02:44:45 GMT+0300 (Беларусь (зима))] INFO Requests: 1014, requests per second: 14, mean latency: 740 ms
[Wed Aug 10 2016 02:44:50 GMT+0300 (Беларусь (зима))] INFO Requests: 1084, requests per second: 14, mean latency: 720 ms
[Wed Aug 10 2016 02:44:55 GMT+0300 (Беларусь (зима))] INFO Requests: 1149, requests per second: 13, mean latency: 760 ms
[Wed Aug 10 2016 02:45:00 GMT+0300 (Беларусь (зима))] INFO Requests: 1213, requests per second: 13, mean latency: 760 ms
[Wed Aug 10 2016 02:45:05 GMT+0300 (Беларусь (зима))] INFO Requests: 1282, requests per second: 14, mean latency: 740 ms
[Wed Aug 10 2016 02:45:10 GMT+0300 (Беларусь (зима))] INFO Requests: 1352, requests per second: 14, mean latency: 730 ms
[Wed Aug 10 2016 02:45:15 GMT+0300 (Беларусь (зима))] INFO Requests: 1419, requests per second: 13, mean latency: 730 ms
[Wed Aug 10 2016 02:45:20 GMT+0300 (Беларусь (зима))] INFO Requests: 1485, requests per second: 13, mean latency: 760 ms
[Wed Aug 10 2016 02:45:25 GMT+0300 (Беларусь (зима))] INFO Requests: 1551, requests per second: 13, mean latency: 760 ms
[Wed Aug 10 2016 02:45:30 GMT+0300 (Беларусь (зима))] INFO Requests: 1619, requests per second: 14, mean latency: 740 ms
[Wed Aug 10 2016 02:45:35 GMT+0300 (Беларусь (зима))] INFO Requests: 1688, requests per second: 14, mean latency: 720 ms
[Wed Aug 10 2016 02:45:40 GMT+0300 (Беларусь (зима))] INFO Requests: 1759, requests per second: 14, mean latency: 710 ms
[Wed Aug 10 2016 02:45:45 GMT+0300 (Беларусь (зима))] INFO Requests: 1829, requests per second: 14, mean latency: 720 ms
[Wed Aug 10 2016 02:45:50 GMT+0300 (Беларусь (зима))] INFO Requests: 1899, requests per second: 14, mean latency: 710 ms
[Wed Aug 10 2016 02:45:55 GMT+0300 (Беларусь (зима))] INFO Requests: 1969, requests per second: 14, mean latency: 720 ms
[Wed Aug 10 2016 02:46:00 GMT+0300 (Беларусь (зима))] INFO Requests: 2037, requests per second: 14, mean latency: 720 ms
[Wed Aug 10 2016 02:46:05 GMT+0300 (Беларусь (зима))] INFO Requests: 2107, requests per second: 14, mean latency: 720 ms
[Wed Aug 10 2016 02:46:10 GMT+0300 (Беларусь (зима))] INFO Requests: 2176, requests per second: 14, mean latency: 720 ms
[Wed Aug 10 2016 02:46:15 GMT+0300 (Беларусь (зима))] INFO Requests: 2245, requests per second: 14, mean latency: 720 ms
[Wed Aug 10 2016 02:46:20 GMT+0300 (Беларусь (зима))] INFO Requests: 2314, requests per second: 14, mean latency: 730 ms
[Wed Aug 10 2016 02:46:25 GMT+0300 (Беларусь (зима))] INFO Requests: 2382, requests per second: 14, mean latency: 720 ms
[Wed Aug 10 2016 02:46:30 GMT+0300 (Беларусь (зима))] INFO Requests: 2454, requests per second: 14, mean latency: 720 ms
[Wed Aug 10 2016 02:46:35 GMT+0300 (Беларусь (зима))] INFO Requests: 2523, requests per second: 14, mean latency: 710 ms
[Wed Aug 10 2016 02:46:40 GMT+0300 (Беларусь (зима))] INFO Requests: 2593, requests per second: 14, mean latency: 710 ms
[Wed Aug 10 2016 02:46:45 GMT+0300 (Беларусь (зима))] INFO Requests: 2664, requests per second: 14, mean latency: 720 ms
[Wed Aug 10 2016 02:46:50 GMT+0300 (Беларусь (зима))] INFO Requests: 2733, requests per second: 14, mean latency: 710 ms
[Wed Aug 10 2016 02:46:55 GMT+0300 (Беларусь (зима))] INFO Requests: 2804, requests per second: 14, mean latency: 700 ms
[Wed Aug 10 2016 02:47:00 GMT+0300 (Беларусь (зима))] INFO Requests: 2873, requests per second: 14, mean latency: 730 ms
[Wed Aug 10 2016 02:47:05 GMT+0300 (Беларусь (зима))] INFO Requests: 2942, requests per second: 14, mean latency: 730 ms
[Wed Aug 10 2016 02:47:10 GMT+0300 (Беларусь (зима))] INFO Requests: 3014, requests per second: 14, mean latency: 710 ms
[Wed Aug 10 2016 02:47:15 GMT+0300 (Беларусь (зима))] INFO Requests: 3083, requests per second: 14, mean latency: 700 ms
[Wed Aug 10 2016 02:47:20 GMT+0300 (Беларусь (зима))] INFO Requests: 3153, requests per second: 14, mean latency: 720 ms
