$ loadtest -c 1000 http://localhost:3000/
[Wed Aug 10 2016 03:02:52 GMT+0300 (Беларусь (зима))] INFO Requests: 0, requests per second: 0, mean latency: 0 ms
[Wed Aug 10 2016 03:02:57 GMT+0300 (Беларусь (зима))] INFO Requests: 9750, requests per second: 1946, mean latency: 480 ms
[Wed Aug 10 2016 03:02:57 GMT+0300 (Беларусь (зима))] INFO Errors: 353, accumulated errors: 353, 3.6% of total requests
[Wed Aug 10 2016 03:03:02 GMT+0300 (Беларусь (зима))] INFO Requests: 20282, requests per second: 2098, mean latency: 490 ms
[Wed Aug 10 2016 03:03:02 GMT+0300 (Беларусь (зима))] INFO Errors: 197, accumulated errors: 550, 2.7% of total requests
[Wed Aug 10 2016 03:03:07 GMT+0300 (Беларусь (зима))] INFO Requests: 31243, requests per second: 2204, mean latency: 450 ms
[Wed Aug 10 2016 03:03:07 GMT+0300 (Беларусь (зима))] INFO Errors: 106, accumulated errors: 656, 2.1% of total requests
[Wed Aug 10 2016 03:03:12 GMT+0300 (Беларусь (зима))] INFO Requests: 42118, requests per second: 2164, mean latency: 460 ms
[Wed Aug 10 2016 03:03:12 GMT+0300 (Беларусь (зима))] INFO Errors: 423, accumulated errors: 1079, 2.6% of total requests
[Wed Aug 10 2016 03:03:17 GMT+0300 (Беларусь (зима))] INFO Requests: 53000, requests per second: 2165, mean latency: 460 ms
[Wed Aug 10 2016 03:03:17 GMT+0300 (Беларусь (зима))] INFO Errors: 446, accumulated errors: 1525, 2.9% of total requests
[Wed Aug 10 2016 03:03:22 GMT+0300 (Беларусь (зима))] INFO Requests: 63164, requests per second: 2026, mean latency: 500 ms
[Wed Aug 10 2016 03:03:22 GMT+0300 (Беларусь (зима))] INFO Errors: 148, accumulated errors: 1673, 2.6% of total requests
[Wed Aug 10 2016 03:03:27 GMT+0300 (Беларусь (зима))] INFO Requests: 73646, requests per second: 2128, mean latency: 470 ms
[Wed Aug 10 2016 03:03:27 GMT+0300 (Беларусь (зима))] INFO Errors: 292, accumulated errors: 1965, 2.7% of total requests
[Wed Aug 10 2016 03:03:32 GMT+0300 (Беларусь (зима))] INFO Requests: 84637, requests per second: 2182, mean latency: 450 ms
[Wed Aug 10 2016 03:03:32 GMT+0300 (Беларусь (зима))] INFO Errors: 187, accumulated errors: 2152, 2.5% of total requests
[Wed Aug 10 2016 03:03:37 GMT+0300 (Беларусь (зима))] INFO Requests: 95192, requests per second: 2129, mean latency: 470 ms
[Wed Aug 10 2016 03:03:37 GMT+0300 (Беларусь (зима))] INFO Errors: 130, accumulated errors: 2282, 2.4% of total requests
[Wed Aug 10 2016 03:03:42 GMT+0300 (Беларусь (зима))] INFO Requests: 105615, requests per second: 2082, mean latency: 480 ms
[Wed Aug 10 2016 03:03:42 GMT+0300 (Беларусь (зима))] INFO Errors: 180, accumulated errors: 2462, 2.3% of total requests
[Wed Aug 10 2016 03:03:47 GMT+0300 (Беларусь (зима))] INFO Requests: 116072, requests per second: 2081, mean latency: 480 ms
[Wed Aug 10 2016 03:03:47 GMT+0300 (Беларусь (зима))] INFO Errors: 223, accumulated errors: 2685, 2.3% of total requests
[Wed Aug 10 2016 03:03:52 GMT+0300 (Беларусь (зима))] INFO Requests: 126756, requests per second: 2150, mean latency: 480 ms
[Wed Aug 10 2016 03:03:52 GMT+0300 (Беларусь (зима))] INFO Errors: 174, accumulated errors: 2859, 2.3% of total requests
[Wed Aug 10 2016 03:03:57 GMT+0300 (Беларусь (зима))] INFO Requests: 137443, requests per second: 2140, mean latency: 450 ms
[Wed Aug 10 2016 03:03:57 GMT+0300 (Беларусь (зима))] INFO Errors: 169, accumulated errors: 3028, 2.2% of total requests
[Wed Aug 10 2016 03:04:02 GMT+0300 (Беларусь (зима))] INFO Requests: 147901, requests per second: 2090, mean latency: 480 ms
[Wed Aug 10 2016 03:04:02 GMT+0300 (Беларусь (зима))] INFO Errors: 486, accumulated errors: 3514, 2.4% of total requests
[Wed Aug 10 2016 03:04:07 GMT+0300 (Беларусь (зима))] INFO Requests: 158639, requests per second: 2139, mean latency: 460 ms
[Wed Aug 10 2016 03:04:07 GMT+0300 (Беларусь (зима))] INFO Errors: 165, accumulated errors: 3679, 2.3% of total requests
[Wed Aug 10 2016 03:04:12 GMT+0300 (Беларусь (зима))] INFO Requests: 169520, requests per second: 2175, mean latency: 460 ms
[Wed Aug 10 2016 03:04:12 GMT+0300 (Беларусь (зима))] INFO Errors: 310, accumulated errors: 3989, 2.4% of total requests
[Wed Aug 10 2016 03:04:17 GMT+0300 (Беларусь (зима))] INFO Requests: 180211, requests per second: 2144, mean latency: 480 ms
[Wed Aug 10 2016 03:04:17 GMT+0300 (Беларусь (зима))] INFO Errors: 262, accumulated errors: 4251, 2.4% of total requests
[Wed Aug 10 2016 03:04:22 GMT+0300 (Беларусь (зима))] INFO Requests: 190332, requests per second: 2029, mean latency: 490 ms
[Wed Aug 10 2016 03:04:22 GMT+0300 (Беларусь (зима))] INFO Errors: 160, accumulated errors: 4411, 2.3% of total requests
[Wed Aug 10 2016 03:04:27 GMT+0300 (Беларусь (зима))] INFO Requests: 200322, requests per second: 2000, mean latency: 500 ms
[Wed Aug 10 2016 03:04:27 GMT+0300 (Беларусь (зима))] INFO Errors: 313, accumulated errors: 4724, 2.4% of total requests
