$ loadtest -c 10 http://localhost:3000/stressAllUpdate
[Wed Aug 10 2016 02:53:29 GMT+0300 (Беларусь (зима))] INFO Requests: 0, requests per second: 0, mean latency: 0 ms
[Wed Aug 10 2016 02:53:34 GMT+0300 (Беларусь (зима))] INFO Requests: 5443, requests per second: 1088, mean latency: 10 ms
[Wed Aug 10 2016 02:53:39 GMT+0300 (Беларусь (зима))] INFO Requests: 11119, requests per second: 1136, mean latency: 10 ms
[Wed Aug 10 2016 02:53:44 GMT+0300 (Беларусь (зима))] INFO Requests: 16478, requests per second: 1072, mean latency: 10 ms
[Wed Aug 10 2016 02:53:49 GMT+0300 (Беларусь (зима))] INFO Requests: 21980, requests per second: 1100, mean latency: 10 ms
[Wed Aug 10 2016 02:53:54 GMT+0300 (Беларусь (зима))] INFO Requests: 27406, requests per second: 1085, mean latency: 10 ms
[Wed Aug 10 2016 02:53:59 GMT+0300 (Беларусь (зима))] INFO Requests: 33138, requests per second: 1147, mean latency: 10 ms
[Wed Aug 10 2016 02:54:04 GMT+0300 (Беларусь (зима))] INFO Requests: 38830, requests per second: 1139, mean latency: 10 ms
[Wed Aug 10 2016 02:54:09 GMT+0300 (Беларусь (зима))] INFO Requests: 44520, requests per second: 1138, mean latency: 10 ms
[Wed Aug 10 2016 02:54:14 GMT+0300 (Беларусь (зима))] INFO Requests: 50237, requests per second: 1143, mean latency: 10 ms
[Wed Aug 10 2016 02:54:19 GMT+0300 (Беларусь (зима))] INFO Requests: 55966, requests per second: 1146, mean latency: 10 ms
[Wed Aug 10 2016 02:54:24 GMT+0300 (Беларусь (зима))] INFO Requests: 61658, requests per second: 1138, mean latency: 10 ms
[Wed Aug 10 2016 02:54:29 GMT+0300 (Беларусь (зима))] INFO Requests: 67266, requests per second: 1122, mean latency: 10 ms
[Wed Aug 10 2016 02:54:34 GMT+0300 (Беларусь (зима))] INFO Requests: 72857, requests per second: 1118, mean latency: 10 ms
[Wed Aug 10 2016 02:54:39 GMT+0300 (Беларусь (зима))] INFO Requests: 78453, requests per second: 1119, mean latency: 10 ms
[Wed Aug 10 2016 02:54:44 GMT+0300 (Беларусь (зима))] INFO Requests: 84049, requests per second: 1119, mean latency: 10 ms
[Wed Aug 10 2016 02:54:49 GMT+0300 (Беларусь (зима))] INFO Requests: 89700, requests per second: 1130, mean latency: 10 ms
[Wed Aug 10 2016 02:54:54 GMT+0300 (Беларусь (зима))] INFO Requests: 94922, requests per second: 1044, mean latency: 10 ms
[Wed Aug 10 2016 02:54:59 GMT+0300 (Беларусь (зима))] INFO Requests: 100536, requests per second: 1123, mean latency: 10 ms
[Wed Aug 10 2016 02:55:04 GMT+0300 (Беларусь (зима))] INFO Requests: 106107, requests per second: 1114, mean latency: 10 ms
[Wed Aug 10 2016 02:55:09 GMT+0300 (Беларусь (зима))] INFO Requests: 111206, requests per second: 1020, mean latency: 10 ms
[Wed Aug 10 2016 02:55:14 GMT+0300 (Беларусь (зима))] INFO Requests: 116143, requests per second: 988, mean latency: 10 ms
[Wed Aug 10 2016 02:55:19 GMT+0300 (Беларусь (зима))] INFO Requests: 121394, requests per second: 1050, mean latency: 10 ms
[Wed Aug 10 2016 02:55:24 GMT+0300 (Беларусь (зима))] INFO Requests: 126750, requests per second: 1071, mean latency: 10 ms
[Wed Aug 10 2016 02:55:29 GMT+0300 (Беларусь (зима))] INFO Requests: 132058, requests per second: 1061, mean latency: 10 ms
[Wed Aug 10 2016 02:55:34 GMT+0300 (Беларусь (зима))] INFO Requests: 137548, requests per second: 1098, mean latency: 10 ms
[Wed Aug 10 2016 02:55:39 GMT+0300 (Беларусь (зима))] INFO Requests: 142874, requests per second: 1065, mean latency: 10 ms
[Wed Aug 10 2016 02:55:44 GMT+0300 (Беларусь (зима))] INFO Requests: 148074, requests per second: 1040, mean latency: 10 ms
